Food,Origin,Cultivated,Facts,wiki_link,wiki_commons
"Chili Pepper, Chile Pepper","Mexico, Central America, South America",,"Chili peppers, from Nahuatl ch_lli,  are varieties of the berry-fruit of plants from the genus Capsicum, which are members of the nightshade family Solanaceae, cultivated for their pungency. Chili peppers are believed to have originated somewhere in Central or South America, and were first cultivated in Mexico.  After the Columbian Exchange, many cultivars of chili pepper spread around the world, used for both food and traditional medicine. This led to a wide variety of cultivars, including the annuum species, with its glabriusculum variety and New Mexico cultivar group, and the species of baccatum, chinense, frutescens, and pubescens. Cultivars grown in North America and Europe are believed to all derive from Capsicum annuum, and have white, yellow, red or purple to black fruits. In 2019, the world's production of raw green chili peppers amounted to 38 million tons, with China producing half.",https://en.wikipedia.org/wiki/Chili_pepper,https://commons.wikimedia.org/wiki/File:Madame_Jeanette_and_other_chillies.jpg
Potato,"Peru, Bolivia, Chile",,"The potato is a starchy food, a tuber of the plant Solanum tuberosum and is a root vegetable native to the Americas. The plant is a perennial in the nightshade family Solanaceae. Wild potato species can be found from the southern United States to southern Chile.  The potato was originally believed to have been domesticated by Native Americans independently in multiple locations,  but later genetic studies traced a single origin, in the area of present-day southern Peru and extreme northwestern Bolivia. Potatoes were domesticated there approximately 7,000Ð10,000 years ago, from a species in the Solanum brevicaule complex.  In the Andes region of South America, where the species is indigenous, some close relatives of the potato are cultivated. ",https://en.wikipedia.org/wiki/Potato,https://commons.wikimedia.org/wiki/File:234_Solanum_tuberosum_L.jpg
Broccoli,Italy,,"Broccoli is an edible green plant in the cabbage family (family Brassicaceae, genus Brassica) whose large flowering head, stalk and small associated leaves are eaten as a vegetable. Broccoli is classified in the Italica cultivar group of the species Brassica oleracea. Broccoli has large flower heads, usually dark green, arranged in a tree-like structure branching out from a thick stalk which is usually light green. The mass of flower heads is surrounded by leaves. Broccoli resembles cauliflower, which is a different but closely related cultivar group of the same Brassica species. ",https://en.wikipedia.org/wiki/Broccoli,https://commons.wikimedia.org/wiki/File:Broccoli_and_cross_section_edit.jpg
Cabbage,Europe,,"Cabbage, comprising several cultivars of Brassica oleracea, is a leafy green, red (purple), or white (pale green) biennial plant grown as an annual vegetable crop for its dense-leaved heads. It is descended from the wild cabbage (B. oleracea var. oleracea), and belongs to the ""cole crops"" or brassicas, meaning it is closely related to broccoli and cauliflower (var. botrytis); Brussels sprouts (var. gemmifera); and Savoy cabbage (var. sabauda). Cabbage was most likely domesticated somewhere in Europe in ancient history before 1000 BC. Cabbage use in cuisine has been documented since Antiquity.",https://en.wikipedia.org/wiki/Cabbage,https://commons.wikimedia.org/wiki/File:Brassicales_-_Brassica_oleracea_convar._capitata_var._alba_5_-_2011.08.07.jpg
Kale,"Meditteranean, Turkey ",,"Kale, or leaf cabbage, belongs to a group of cabbage (Brassica oleracea) cultivars grown for their edible leaves, although some are used as ornamentals. Kale plants have green or purple leaves, and the central leaves do not form a head (as with headed cabbage). Kales are considered to be closer to wild cabbage than most of the many domesticated forms of Brassica oleracea. Kale originated in the eastern Mediterranean and Anatolia, where it was cultivated for food beginning by 2000 BCE at the latest.",https://en.wikipedia.org/wiki/Kale,"https://commons.wikimedia.org/wiki/File:Brassica_oleracea_var._laciniata,_boerenkool.jpg"
Brussels Sprouts,"North Europe, Belgium",,"The Brussels sprout is a member of the Gemmifera cultivar group of cabbages (Brassica oleracea), grown for its edible buds. The leaf vegetables are typically 1.5Ð4.0Êcm (0.6Ð1.6Êin) in diameter and resemble miniature cabbages. Although native to the Mediterranean region with other cabbage species, Brussels sprouts first appeared in northern Europe during the 5th century; they were later cultivated in the 13th century near Brussels, Belgium, from which they derived their name.",https://en.wikipedia.org/wiki/Brussels_sprout,https://commons.wikimedia.org/wiki/File:Brussels_sprout_closeup.jpg
Carrot,"Persia, Iran, Armenia, Turkey, Afghanistan, Pakistan",,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist, all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia. The plant probably originated in Persia and was originally cultivated for its leaves and seeds. The most commonly eaten part of the plant is the taproot, although the stems and leaves are also eaten. The domestic carrot has been selectively bred for its enlarged, more palatable, less woody-textured taproot. ",https://en.wikipedia.org/wiki/Carrot,https://commons.wikimedia.org/wiki/File:Carrots_of_many_colors.jpg
Apple,"Central Asia, Kazakhstan, Kyrgyzstan, Tajikistan, China",,"An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus. The tree originated in Central Asia, where its wild ancestor, Malus sieversii, is still found today. Apples have been grown for thousands of years in Asia and Europe and were brought to North America by European colonists.",,
Orange,"China, India, Myanmar",,"The orange is a hybrid between pomelo (Citrus maxima) and mandarin (Citrus reticulata). The chloroplast genome, and therefore the maternal line, is that of pomelo. The sweet orange has had its full genome sequenced. The orange originated in a region encompassing Southern China, Northeast India, and Myanmar,  and the earliest mention of the sweet orange was in Chinese literature in 314 BC.  As of 1987, orange trees were found to be the most cultivated fruit tree in the world.  Orange trees are widely grown in tropical and subtropical climates for their sweet fruit. The fruit of the orange tree can be eaten fresh, or processed for its juice or fragrant peel.  As of 2012, sweet oranges accounted for approximately 70% of citrus production.",,
Lemon,"India, China",,"The lemon (Citrus limon) is a species of small evergreen trees in the flowering plant family Rutaceae, native to Asia, primarily Northeast India (Assam), Northern Myanmar or China.",,
"Chocolate, Cocoa",Mexcio,,"The cocoa bean (technically cocoa seed) or simply cocoa (/_ko_.ko_/), also called cacao  is the dried and fully fermented seed of Theobroma cacao, from which cocoa solids (a mixture of nonfat substances) and cocoa butter (the fat) can be extracted. Cocoa beans native to the Amazon rainforest are the basis of chocolate, and Mesoamerican foods including tejate, an indigenous Mexican drink. ",https://en.wikipedia.org/wiki/Cocoa_bean,
Tomato,"Mexico, Central America, South America",,"The tomato (/t_me_to_/ or /t_m__to_/) is the edible berry of the plant Solanum lycopersicum, commonly known as the tomato plant. The species originated in western South America, Mexico, and Central America.  The Mexican Nahuatl word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived. Its domestication and use as a cultivated food may have originated with the indigenous peoples of Mexico. The Aztecs used tomatoes in their cooking at the time of the Spanish conquest of the Aztec Empire, and after the Spanish encountered the tomato for the first time after their contact with the Aztecs, they brought the plant to Europe, in a widespread transfer of plants known as the Columbian exchange. From there, the tomato was introduced to other parts of the European-colonized world during the 16th century.",https://en.wikipedia.org/wiki/Tomato,
"Beans, Legumes","Netherlands, Egypt, Pakistan, India",,"A legume (/_l__ju_m, l___ju_m/) is a plant in the family Fabaceae (or Leguminosae), or the fruit or seed of such a plant. When used as a dry grain, the seed is also called a pulse. Legumes are grown agriculturally, primarily for human consumption, for livestock forage and silage, and as soil-enhancing green manure. Well-known legumes include beans, soybeans, chickpeas, peanuts, lentils, lupins, mesquite, carob, tamarind, alfalfa, and clover. Legumes produce a botanically unique type of fruit Ð a simple dry fruit that develops from a simple carpel and usually dehisces (opens along a seam) on two sides.",https://en.wikipedia.org/wiki/Legume,https://commons.wikimedia.org/wiki/File:Beans-g34a47f56f_1920.jpg
Rice,"Africa, Asia",,"Rice is the seed of the grass species Oryza sativa (Asian rice) or less commonly O. glaberrima (African rice). The name wild rice is usually used for species of the genera Zizania and Porteresia, both wild and domesticated, although the term may also be used for primitive or uncultivated varieties of Oryza.",https://en.wikipedia.org/wiki/Rice,"https://commons.wikimedia.org/wiki/File:White,_Brown,_Red_%26_Wild_rice.jpg"
Wheat,"Iraq, Syria, Lebanon, Israel, Palestine, Iran, Kuwait, Turkey, Jordan",,"Wheat is a grass widely cultivated for its seed, a cereal grain that is a worldwide staple food. The many species of wheat together make up the genus Triticum /_tr_t_k_m/; the most widely grown is common wheat (T. aestivum). The archaeological record suggests that wheat was first cultivated in the regions of the Fertile Crescent around 9600 BCE. Botanically, the wheat kernel is a type of fruit called a caryopsis.",https://en.wikipedia.org/wiki/Wheat,https://commons.wikimedia.org/wiki/File:Triticum_aestivum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-274.jpg
"Corn, Maize",Mexico,,"Maize (/me_z/ MAYZ; Zea mays subsp. mays, from Spanish: ma’z after Taino: mahis[2]), also known as corn in North American and Australian English, is a cereal grain first domesticated by indigenous peoples in southern Mexico about 10,000 years ago.[3][4] The leafy stalk of the plant produces pollen inflorescences (or ""tassels"") and separate ovuliferous inflorescences called ears that when fertilized yield kernels or seeds, which are fruits.  The term maize is preferred in formal, scientific, and international usage as the common name because this refers specifically to this one grain whereas corn refers to any principal cereal crop cultivated in a country. For example, in North America and Australia corn is often used for maize, but in England and Wales it can refer to wheat or barley, and in Scotland and Ireland to oats.",https://en.wikipedia.org/wiki/Maize,https://commons.wikimedia.org/wiki/File:Zea_mays_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-283.jpg
Durian,"Borneo, Sumatra",,"The durian (/_d__ri_n/, /_dj__ri_n/) is the edible fruit of several tree species belonging to the genus Durio. There are 30 recognised Durio species, at least nine of which produce edible fruit. Durio zibethinus, native to Borneo and Sumatra, is the only species available in the international market. It has over 300 named varieties in Thailand and 100 in Malaysia, as of 1987. Other species are sold in their local regions. Durians are commonly associated with Southeast Asian cuisine, especially in Indonesia, Malaysia, Singapore, Thailand, Cambodia, Philippines, Bangladesh and Vietnam. ",https://en.wikipedia.org/wiki/Durian,https://commons.wikimedia.org/wiki/File:Durian_Fruit_in_Yunnan.jpg
Strawberry,"North America, Chile",France,"The garden strawberry (or simply strawberry; Fragaria _ ananassa) is a widely grown hybrid species of the genus Fragaria, collectively known as the strawberries, which are cultivated worldwide for their fruit. The fruit is widely appreciated for its characteristic aroma, bright red color, juicy texture, and sweetness. It is consumed in large quantities, either fresh or in such prepared foods as jam, juice, pies, ice cream, milkshakes, and chocolates. Artificial strawberry flavorings and aromas are also widely used in products such as candy, soap, lip gloss, perfume, and many others. ",https://en.wikipedia.org/wiki/Strawberry,https://commons.wikimedia.org/wiki/File:Rosales_-_Fragaria_%C3%97_ananassa_-_1.jpg
